REF_DATE,GEO,Sex,Age group,Employment,Full-time employment,Labour force,Part-time employment ,Population,Unemployment,Employment rate,Participation rate,Unemployment rate
2018-01-01,Alberta,Both sexes,15 years and over,2270500.0,1874300.0,2434400.0,396200.0,3373100.0,163900.0,67.3,72.2,6.7
2018-01-01,British Columbia,Both sexes,15 years and over,2581700.0,2020600.0,2714800.0,561100.0,4125700.0,133100.0,62.6,65.8,4.9
2018-01-01,Canada,Both sexes,15 years and over,18594900.0,15079700.0,19754600.0,3515200.0,30000900.0,1159700.0,62.0,65.8,5.9
2018-01-01,Manitoba,Both sexes,15 years and over,649500.0,518600.0,687800.0,130900.0,1021600.0,38300.0,63.6,67.3,5.6
2018-01-01,New Brunswick,Both sexes,15 years and over,358000.0,305200.0,393600.0,52800.0,634900.0,35600.0,56.4,62.0,9.0
2018-01-01,Newfoundland and Labrador,Both sexes,15 years and over,223000.0,189000.0,262900.0,34000.0,447400.0,40000.0,49.8,58.8,15.2
2018-01-01,Nova Scotia,Both sexes,15 years and over,447900.0,365100.0,488800.0,82800.0,791800.0,40900.0,56.6,61.7,8.4
2018-01-01,Ontario,Both sexes,15 years and over,7178000.0,5823900.0,7604400.0,1354100.0,11723800.0,426400.0,61.2,64.9,5.6
2018-01-01,Prince Edward Island,Both sexes,15 years and over,75500.0,62100.0,84800.0,13400.0,125400.0,9300.0,60.2,67.6,11.0
2018-01-01,Quebec,Both sexes,15 years and over,4245100.0,3458200.0,4482900.0,786800.0,6884100.0,237800.0,61.7,65.1,5.3
2018-01-01,Saskatchewan,Both sexes,15 years and over,565900.0,462800.0,600300.0,103100.0,873200.0,34400.0,64.8,68.7,5.7
2018-02-01,Alberta,Both sexes,15 years and over,2267400.0,1862200.0,2424300.0,405200.0,3376800.0,156900.0,67.1,71.8,6.5
2018-02-01,British Columbia,Both sexes,15 years and over,2582600.0,2013800.0,2718100.0,568800.0,4131300.0,135500.0,62.5,65.8,5.0
2018-02-01,Canada,Both sexes,15 years and over,18585000.0,15041700.0,19765800.0,3543300.0,30032300.0,1180700.0,61.9,65.8,6.0
2018-02-01,Manitoba,Both sexes,15 years and over,647200.0,517200.00000000006,688200.0,130000.0,1022500.0,41000.0,63.3,67.3,6.0
2018-02-01,New Brunswick,Both sexes,15 years and over,361100.0,307700.0,394400.0,53400.0,635300.0,33300.0,56.8,62.1,8.4
2018-02-01,Newfoundland and Labrador,Both sexes,15 years and over,224300.0,188200.0,263900.0,36100.0,447200.0,39600.0,50.2,59.0,15.0
2018-02-01,Nova Scotia,Both sexes,15 years and over,449800.0,370600.0,491600.0,79200.0,792100.0,41800.0,56.8,62.1,8.5
2018-02-01,Ontario,Both sexes,15 years and over,7180500.0,5815400.0,7603600.0,1365000.0,11739100.0,423100.0,61.2,64.8,5.6
2018-02-01,Prince Edward Island,Both sexes,15 years and over,76300.0,63800.0,84900.0,12600.0,125600.0,8500.0,60.7,67.6,10.0
2018-02-01,Quebec,Both sexes,15 years and over,4230800.0,3439400.0,4497500.0,791500.0,6888600.0,266700.0,61.4,65.3,5.9
2018-02-01,Saskatchewan,Both sexes,15 years and over,565000.0,463600.0,599400.0,101400.0,873700.0,34400.0,64.7,68.6,5.7
2018-03-01,Alberta,Both sexes,15 years and over,2274400.0,1856000.0,2422800.0,418400.0,3381200.0,148400.0,67.3,71.7,6.1
2018-03-01,British Columbia,Both sexes,15 years and over,2577800.0,2032000.0,2710500.0,545800.0,4138200.0,132700.0,62.3,65.5,4.9
2018-03-01,Canada,Both sexes,15 years and over,18642000.0,15123900.0,19792100.0,3518100.0,30069600.0,1150100.0,62.0,65.8,5.8
2018-03-01,Manitoba,Both sexes,15 years and over,648700.0,518100.0,692600.0,130600.0,1023500.0,43900.0,63.4,67.7,6.3
2018-03-01,New Brunswick,Both sexes,15 years and over,361100.0,308300.0,393700.0,52800.0,635600.0,32600.0,56.8,61.9,8.3
2018-03-01,Newfoundland and Labrador,Both sexes,15 years and over,224700.0,188700.0,263700.0,36000.0,447000.0,39000.0,50.3,59.0,14.8
2018-03-01,Nova Scotia,Both sexes,15 years and over,449500.0,371900.0,489300.0,77600.0,792700.0,39800.0,56.7,61.7,8.1
2018-03-01,Ontario,Both sexes,15 years and over,7208000.0,5844400.0,7627100.0,1363600.0,11756600.0,419100.0,61.3,64.9,5.5
2018-03-01,Prince Edward Island,Both sexes,15 years and over,76000.0,63000.0,84800.0,13000.0,125800.0,8800.0,60.4,67.4,10.4
2018-03-01,Quebec,Both sexes,15 years and over,4254200.0,3479900.0,4503400.0,774300.0,6894700.0,249200.0,61.7,65.3,5.5
2018-03-01,Saskatchewan,Both sexes,15 years and over,567600.0,461600.0,604200.0,105900.0,874200.0,36600.0,64.9,69.1,6.1
2018-04-01,Alberta,Both sexes,15 years and over,2260100.0,1863800.0,2422500.0,396300.0,3386900.0,162400.0,66.7,71.5,6.7
2018-04-01,British Columbia,Both sexes,15 years and over,2591400.0,2050100.0,2727400.0,541300.0,4146600.000000001,136000.0,62.5,65.8,5.0
2018-04-01,Canada,Both sexes,15 years and over,18638300.0,15171400.0,19789300.0,3467000.0,30117600.0,1151000.0,61.9,65.7,5.8
2018-04-01,Manitoba,Both sexes,15 years and over,651500.0,521700.00000000006,694300.0,129800.0,1025000.0,42800.0,63.6,67.7,6.2
2018-04-01,New Brunswick,Both sexes,15 years and over,362200.0,309400.0,393600.0,52700.0,636100.0,31400.0,56.9,61.9,8.0
2018-04-01,Newfoundland and Labrador,Both sexes,15 years and over,225000.0,190100.0,264100.0,34900.0,446800.0,39100.0,50.4,59.1,14.8
2018-04-01,Nova Scotia,Both sexes,15 years and over,451800.0,370600.0,486700.0,81200.0,793400.0,34900.0,56.9,61.3,7.2
2018-04-01,Ontario,Both sexes,15 years and over,7214900.0,5880500.0,7627700.0,1334400.0,11778800.0,412800.0,61.3,64.8,5.4
2018-04-01,Prince Edward Island,Both sexes,15 years and over,76100.0,63000.0,85700.0,13100.0,126100.0,9700.0,60.3,68.0,11.3
2018-04-01,Quebec,Both sexes,15 years and over,4242200.0,3463400.0,4486400.0,778800.0,6902900.0,244200.0,61.5,65.0,5.4
2018-04-01,Saskatchewan,Both sexes,15 years and over,563200.0,458700.0,600900.0,104400.0,875000.0,37700.0,64.4,68.7,6.3
2018-05-01,Alberta,Both sexes,15 years and over,2271700.0,1871300.0,2422100.0,400300.0,3391200.0,150500.0,67.0,71.4,6.2
2018-05-01,British Columbia,Both sexes,15 years and over,2573700.0,2024000.0,2702700.0,549600.0,4154000.0,129000.0,62.0,65.1,4.8
2018-05-01,Canada,Both sexes,15 years and over,18641500.0,15124100.0,19800900.0,3517400.0,30156600.0,1159400.0,61.8,65.7,5.9
2018-05-01,Manitoba,Both sexes,15 years and over,651800.0,524700.0,694200.0,127100.0,1026300.0,42300.0,63.5,67.6,6.1
2018-05-01,New Brunswick,Both sexes,15 years and over,362900.0,310600.0,393500.0,52300.0,636300.0,30600.0,57.0,61.8,7.8
2018-05-01,Newfoundland and Labrador,Both sexes,15 years and over,224900.0,186200.0,263000.0,38700.0,446700.0,38100.0,50.3,58.9,14.5
2018-05-01,Nova Scotia,Both sexes,15 years and over,449700.0,369700.0,484900.0,80000.0,794100.0,35200.0,56.6,61.1,7.3
2018-05-01,Ontario,Both sexes,15 years and over,7202600.0,5883600.0,7647800.0,1319000.0,11796900.0,445100.0,61.1,64.8,5.8
2018-05-01,Prince Edward Island,Both sexes,15 years and over,76900.0,64000.0,85000.0,12900.0,126400.0,8100.0,60.8,67.2,9.5
2018-05-01,Quebec,Both sexes,15 years and over,4265300.0,3433300.0,4506200.0,832000.0,6909200.0,240900.0,61.7,65.2,5.3
2018-05-01,Saskatchewan,Both sexes,15 years and over,562000.0,456400.0,601500.0,105600.0,875500.0,39500.0,64.2,68.7,6.6
2018-06-01,Alberta,Both sexes,15 years and over,2269800.0,1864100.0,2431400.0,405700.0,3395900.0,161600.0,66.8,71.6,6.6
